Order,Delegate,Speech_Topic_Num,Speech_Topic_Name,Speech_Length,Day_Num,Day_Date,Volume,Pg_Num,Previous_Speaker,State,Southern_State,Delegate_Ideology,Abs_Delegate_Ideology,Delegate_Ideology_Sq,Delegate_Attend,Delegate_Age,Delegate_Slave,Delegate_College,Delegate_Leg_Exp,
1,Morris_Robert,75,Other procedural motion,29,1,25-May,1,3,9,PA,0,0.69,0.69,0.4761,85,53,0,0,9,
2,Rutledge_John,75,Other procedural motion,31,1,25-May,1,3,Morris_Robert,SC,1,0.39,0.39,0.1521,85,48,1,1,21,
3,"Washington, George",75,Other procedural motion,57,1,25-May,1,3,Rutledge_John,VA,1,1,1,1,85,55,1,0,17,
4,Wilson_James,75,Other procedural motion,11,1,25-May,1,4,Washington_George,PA,0,1,1,1,85,45,0,1,8,
5,Hamilton_Alexander,75,Other procedural motion,3,1,25-May,1,4,Wilson_James,NY,0,0.87,0.87,0.7569,40,30,0,1,3,
6,Pinckney_C,75,Other procedural motion,14,1,25-May,1,4,Hamilton_Alexander,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
7,Wythe_George,75,Other procedural motion,16,2,28-May,1,10,9,VA,1,0.26,0.26,0.0676,6,61,1,1,12,
8,King_Rufus,75,Other procedural motion,71,2,28-May,1,10,Wythe_George,MA,0,1,1,1,83,32,0,1,5,
9,Mason_George,75,Other procedural motion,44,2,28-May,1,10,King_Rufus,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
10,Butler_Pierce,75,Other procedural motion,20,2,28-May,1,13,Mason_George,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
11,Spaight_RichardDobbs,75,Other procedural motion,51,2,28-May,1,13,Butler_Pierce,NC,1,-0.17,0.17,0.0289,85,29,1,1,8,
12,Wythe_George,75,Other procedural motion,143,3,29-May,1,17,9,VA,1,0.26,0.26,0.0676,6,61,1,1,12,
13,Pinckney_C,75,Other procedural motion,10,3,29-May,1,17,Wythe_George,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
14,Morris_Gouverneur,75,Other procedural motion,36,3,29-May,1,17,Pinckney_C,PA,0,0.8,0.8,0.64,59,35,0,1,5,
15,Randolph_Edmund,42,General powers of the national government,1624,3,29-May,1,18,Morris_Gouverneur,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
16,Pinckney_C,42,General powers of the national government,55,3,29-May,1,18,Randolph_Edmund,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
17,Randolph_Edmund,73,Motion to postpone,119,4,30-May,1,33,9,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
18,Morris_Gouverneur,73,Motion to postpone,4,4,30-May,1,33,Randolph_Edmund,PA,0,0.8,0.8,0.64,59,35,0,1,5,
19,Butler_Pierce,73,Motion to postpone,4,4,30-May,1,33,Morris_Gouverneur,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
20,Randolph_Edmund,73,Motion to postpone,4,4,30-May,1,33,Butler_Pierce,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
21,Pinckney_C,41,Powers of state governments,15,4,30-May,1,33,Randolph_Edmund,SC,1,0.91,0.91,0.8281,85,29,1,0,8,
22,Randolph_Edmund,41,Powers of state governments,25,4,30-May,1,34,Pinckney_C,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
23,Butler_Pierce,21,Legislative composition and process,73,4,30-May,1,34,Randolph_Edmund,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
24,Pinckney_CC,80,Other,36,4,30-May,1,34,Butler_Pierce,SC,1,0.37,0.37,0.1369,85,41,1,1,5,
25,Gerry_Elbridge,80,Other,6,4,30-May,1,34,Pinckney_CC,SC,0,-1,1,1,79,43,0,1,13,
26,Morris_Gouverneur,42,General powers of the national government,47,4,30-May,1,34,Gerry_Elbridge,PA,0,0.8,0.8,0.64,59,35,0,1,5,
27,Mason_George,42,General powers of the national government,60,4,30-May,1,34,Morris_Gouverneur,VA,1,-0.71,0.71,0.5041,85,62,1,0,11,
28,Sherman_Roger,42,General powers of the national government,87,4,30-May,1,34,Mason_George,CT,0,-0.13,0.13,0.0169,75,66,0,0,29,
29,Read_George,73,Motion to postpone,77,4,30-May,1,34,Sherman_Roger,DE,0,1,1,1,85,53,0,0,23,
30,Pinckney_CC,73,Motion to postpone,4,4,30-May,1,34,Read_George,SC,1,0.37,0.37,0.1369,85,41,1,1,5,
31,Butler_Pierce,42,General powers of the national government,13,4,30-May,1,35,Pinckney_CC,SC,1,-0.24,0.24,0.0576,85,43,1,0,9,
32,Madison_James,25,Legislative apportionment,38,4,30-May,1,35,Butler_Pierce,VA,1,1,1,1,85,36,1,1,10,
33,King_Rufus,80,Other,54,4,30-May,1,36,Madison_James,MA,0,1,1,1,83,32,0,1,5,
34,Madison_James,80,Other,15,4,30-May,1,36,King_Rufus,VA,1,1,1,1,85,36,1,1,10,
35,Hamilton_Alexander,25,Legislative apportionment,28,4,30-May,1,36,Madison_James,NY,0,0.87,0.87,0.7569,40,30,0,1,3,
36,Spaight_RichardDobbs,25,Legislative apportionment,4,4,30-May,1,36,Hamilton_Alexander,NC,1,-0.17,0.17,0.0289,85,29,1,1,8,
37,Randolph_Edmund,25,Legislative apportionment,18,4,30-May,1,36,Spaight_RichardDobbs,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
38,Madison_James,25,Legislative apportionment,4,4,30-May,1,36,Randolph_Edmund,VA,1,1,1,1,85,36,1,1,10,
39,Randolph_Edmund,25,Legislative apportionment,17,4,30-May,1,36,Madison_James,VA,1,-0.53,0.53,0.2809,85,34,1,1,4,
