"","delegate","speech_day","verbnumb","verblength","wordlength","avg_spe_len","ideology","ideology_sq","ab_ideology","ab_ideology_sq","slave","plantation","securities","land_spec","state_debt_capita","age","south","statepop","navigable","antifed","rev_officer","college","legexp","polittotal","days_present","high_avg_spk_type","med_avg_spk_type","low_avg_spk_type","word.type","log.statepop","log.wordlength","verblength2","log.verblength","log.verbnumb","verb.type"
"1","Baldwin",0.0354,8,255,567,31.875,0.27929,0.078002904,0.27929,0.078002904,0,0,1000,0,4.07,32,1,108000,20,0,0,1,5,5,72,0,1,0,1,11.5898865061064,6.34036106739463,255.01,5.54130276007579,2.07944154167984,1
"2","Bedford",0.131,12,672,1643,56,-0.7326,0.53670276,0.7326,0.53670276,0,0,360,0,6.05,40,0,65000,0,0,0,1,3,8,84,0,1,0,1,11.0821425488778,7.40427972667981,672.01,6.51027322136481,2.484906649788,2
"3","Blair",0,0,0,0,0,0.5963,0.35557369,0.5963,0.35557369,1,1,2500,0,3.66,55,1,564000,0,0,0,1,5,17,85,0,0,1,1,13.2428095304802,-6.90775527898214,0.01,-4.60517018598809,-Inf,1
"4","Brearly",0.082,8,698,1561,87.25,-1,1,1,1,0,0,5,0,12.49,42,0,177000,0,0,1,1,0,9,85,1,0,0,1,12.083905011556,7.35308256113022,698.01,6.54823342930731,2.07944154167984,2
"5","Broom",0.153,15,135,231,9,0.713,0.508369,0.713,0.508369,0,0,10,0,6.05,35,0,65000,8,0,0,1,3,12,85,0,1,0,1,11.0821425488778,5.44242203951675,135.01,4.90534884976915,2.70805020110221,1
"6","Butler",0.776,66,1002,2251,15.182,-0.2389,0.05707321,0.2389,0.05707321,1,1,0,0,3.22,43,1,216000,0,0,0,0,9,10,85,0,1,0,2,12.2830336866663,7.71913028515363,1002.01,6.90976326163493,4.18965474202643,2
"7","Carroll",0.627,34,565,1219,16.618,-0.1883,0.03545689,0.1883,0.03545689,1,1,90,0,6.47,57,1,258000,17,0,0,1,7,14,51,0,1,0,1,12.4607148639038,7.10578694982548,565.01,6.33684343010486,3.52636052461616,1
"8","Davie",0.127,7,204,464,29.143,0.0023,4e-05,0.0023,5.29e-06,1,1,0,0,1.76,30,1,352000,50,0,1,1,4,4,55,0,1,0,1,12.7713864545802,6.13988670739635,204.01,5.31816901225064,1.94591014905531,1
"9","Dayton",0.281,18,254,524,14.111,-0.4196,0.17606416,0.4196,0.17606416,0,0,1000,1,12.49,26,0,177000,0,0,1,1,2,4,64,0,1,0,1,12.083905011556,6.26149359271617,254.01,5.5373736363223,2.89037175789616,1
"10","Dickinson",0.684,55,1558,3450,28.327,-0.8033,0.64529089,0.8033,0.64529089,0,0,0,0,6.05,54,0,65000,0,0,1,1,11,15,79,0,1,0,2,11.0821425488778,8.14612979988044,1558.01,7.35116464489533,4.00733318523247,2
"11","Ellsworth",1.423,89,2360,5374,26.517,0.3085,0.09517225,0.3085,0.09517225,0,0,750,0,10.66,42,0,234000,30,0,0,1,9,12,64,0,1,0,2,12.3630763943398,8.58932797525655,2360.01,7.76642113529881,4.48863636973214,2
"12","Few",0,0,0,0,0,0.2741,0.07513081,0.2741,0.07513081,0,0,80,0,4.07,39,1,108000,0,0,1,0,11,13,64,0,0,1,1,11.5898865061064,-6.90775527898214,0.01,-4.60517018598809,-Inf,1
"13","Franklin",0.405,33,2803,6690,84.939,-0.5238,0.27436644,0.5238,0.27436644,0,0,3250,1,15.01,81,0,424000,0,0,0,0,16,19,84,1,0,0,2,12.9574887342141,8.80836930259909,2803.01,7.93844911876456,3.49650756146648,2
"14","Gerry",1.924,152,4106,9567,27.013,-1,1,1,1,0,0,10000,1,14.06,43,0,469000,1,1,0,1,13,14,79,0,1,0,2,13.0583580474284,9.16607506020414,4106.01,8.32020703303622,5.02388052084628,3
"15","Gilman",0,0,0,0,0,0.578,0.334084,0.578,0.334084,0,0,125,0,4.98,32,0,142000,7,0,1,0,2,1,39,0,0,1,1,11.8635823365834,-6.90775527898214,0.01,-4.60517018598809,-Inf,1
"16","Gorham",1.06,89,2044,5917,22.966,0.644,0.414736,0.644,0.414736,0,0,0,1,14.06,49,0,469000,0,0,0,0,13,17,83,0,1,0,2,13.0583580474284,8.68558501168124,2044.01,7.62266884367953,4.48863636973214,2
"17","Hamilton",0.825,33,3018,7194,91.455,0.8697,0.75637809,0.8697,0.75637809,0,0,0,0,9.81,30,0,321000,0,0,1,1,3,3,40,1,0,0,2,12.6791964021122,8.88100276326029,3018.01,8.01235295277492,3.49650756146648,2
"18","HoustounGA",0.182,7,92,175,13.143,0.2956,0.08737936,0.2956,0.08737936,1,1,0,0,4.07,32,1,108000,0,0,0,1,6,10,44,0,1,0,1,11.5898865061064,5.1647916881929,92.01,4.52189726679427,1.94591014905531,1
"19","Jenifer",0.051,4,41,73,10.25,-0.0564,0.00318096,0.0564,0.00318096,1,1,0,0,6.47,64,1,258000,20,0,0,0,10,11,78,0,1,0,1,12.4607148639038,4.2904731396847,41.01,3.71381593940397,1.38629436111989,1
