Day,Delegate,Madison_Length,Madison_Total_Day_Text,Madison_Proportion_Days_Text,Yates_Length,Yates_Total_Day_Text,Yates_Proportion_Days_Text,McHenry_Length,McHenry_Total_Day_Text,McHenry_Proportion_Days_Text,King_Length,King_Total_Day_Text,King_Proportion_Days_Text,Pierce_Length,Pierce_Total_Day_Length,Pierce_Proportion_Days_Text
29-Jun,Baldwin,48,1241,0.038678485,27,945,0.028571429,0,0,0,0,0,0,0,0,0
2-Jun,Bedford,7,1337,0.005235602,0,130,0,0,0,0,0,0,0,0,148,0
4-Jun,Bedford,36,998,0.036072144,20,162,0.12345679,0,0,0,0,275,0,7,200,0.035
8-Jun,Bedford,115,738,0.155826558,33,253,0.130434783,0,0,0,36,253,0.14229249,0,0,0
30-Jun,Bedford,247,1865,0.132439678,327,1319,0.247915087,0,0,0,0,0,0,0,0,0
5-Jul,Bedford,154,1237,0.124494745,0,119,0,0,0,0,0,0,0,0,0,0
30-Jun,Brearley,41,1865,0.021983914,9,1319,0.006823351,0,0,0,0,0,0,0,0,0
26-Jun,Broom,7,1145,0.006113537,0,591,0,0,0,0,0,0,0,0,0,0
30-May,Butler,34,453,0.075055188,0,31,0,16,767,0.020860495,0,0,0,0,0,0
2-Jun,Butler,53,1337,0.039640987,22,130,0.169230769,0,0,0,0,0,0,20,148,0.135135135
4-Jun,Butler,47,998,0.047094188,7,162,0.043209877,0,0,0,3,275,0.010909091,16,200,0.08
5-Jun,Butler,24,701,0.034236805,0,107,0,0,0,0,0,55,0,20,84,0.238095238
6-Jun,Butler,1,1251,0.000799361,0,115,0,0,0,0,0,0,0,0,62,0
7-Jun,Butler,7,907,0.007717751,0,163,0,0,0,0,0,271,0,0,0,0
8-Jun,Butler,1,738,0.001355014,0,253,0,0,0,0,0,253,0,0,0,0
11-Jun,Butler,7,1015,0.006896552,38,348,0.109195402,0,0,0,0,0,0,0,0,0
12-Jun,Butler,11,575,0.019130435,3,110,0.027272727,0,0,0,0,0,0,0,0,0
13-Jun,Butler,28,342,0.081871345,20,101,0.198019802,0,0,0,0,0,0,0,0,0
22-Jun,Butler,31,631,0.049128368,24,681,0.035242291,0,0,0,0,0,0,0,0,0
23-Jun,Butler,14,626,0.022364217,38,421,0.090261283,0,0,0,0,0,0,0,0,0
25-Jun,Butler,20,1593,0.012554928,0,905,0,0,0,0,0,0,0,0,0,0
26-Jun,Butler,7,1145,0.006113537,11,591,0.018612521,0,0,0,0,0,0,0,0,0
5-Jul,Butler,24,1237,0.019401778,0,119,0,0,0,0,0,0,0,0,0,0
2-Jun,Davie,7,1337,0.005235602,0,130,0,0,0,0,0,0,0,0,148,0
30-Jun,Davie,127,1865,0.068096515,66,1319,0.050037908,0,0,0,0,0,0,0,0,0
26-Jun,Dayton,11,1145,0.009606987,0,591,0,0,0,0,0,0,0,0,0,0
28-Jun,Dayton,23,1208,0.019039735,7,530,0.013207547,0,0,0,0,0,0,0,0,0
30-Jun,Dayton,37,1865,0.019839142,24,1319,0.018195603,0,0,0,0,0,0,0,0,0
30-May,Dickinson,0,453,0,0,31,0,71,767,0.092568449,0,0,0,0,0,0
2-Jun,Dickinson,240,1337,0.179506358,15,130,0.115384615,0,0,0,0,0,0,27,148,0.182432432
4-Jun,Dickinson,1,998,0.001002004,0,162,0,0,0,0,27,275,0.098181818,11,200,0.055
5-Jun,Dickinson,16,701,0.022824536,0,107,0,0,0,0,3,55,0.054545455,43,84,0.511904762
6-Jun,Dickinson,86,1251,0.068745004,12,115,0.104347826,0,0,0,0,0,0,0,62,0
7-Jun,Dickinson,168,907,0.18522602,56,163,0.343558282,0,0,0,135,271,0.498154982,0,0,0
8-Jun,Dickinson,37,738,0.050135501,0,253,0,0,0,0,25,253,0.098814229,0,0,0
